procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 106980 3715256 383688 2754852    0    0     0    14  229  492  0  1 99  0  0
 1  0 106980 3714004 383688 2754964    0    0     0    16  245  567  1  1 98  0  0
 1  0 106980 3713940 383688 2754932    0    0     0    90  236  525  0  1 99  0  0
 0  0 106980 3716372 383688 2754952    0    0     0     8  249  520  1  1 99  0  0
 1  0 106980 3716372 383688 2754972    0    0     0     0  232  503  1  1 99  0  0
 0  0 106980 3715752 383688 2754996    0    0     0   100  235  505  0  0 99  0  0
 0  0 106980 3716560 383688 2755000    0    0     0     8  247  561  2  1 98  0  0
 0  0 106980 3716620 383688 2755008    0    0     0    68  252  518  1  0 99  0  0
 0  0 106980 3714572 383688 2755028    0    0     0     8  283  589  1  1 99  0  0
 0  0 106980 3714572 383688 2755028    0    0     0     0  243  511  1  0 99  0  0
 0  0 106980 3714572 383688 2755028    0    0     0    34  258  522  2  1 97  0  0
 0  0 106980 3716588 383688 2755028    0    0     0    14  260  558  1  1 98  1  0
 0  0 106980 3716620 383688 2754948    0    0     0   290  251  525  1  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 106980 3714696 383688 2754944    0    0     0    90  278  581  1  1 98  0  0
 0  0 106980 3714696 383688 2754944    0    0     0     4  253  542  1  0 99  0  0
 0  0 106980 3716868 383688 2754884    0    0     0    92  272  556  1  1 98  0  0
 0  0 106980 3716864 383688 2754884    0    0     0    74  249  538  1  0 99  1  0
 0  0 106980 3714820 383688 2754908    0    0     0    28  249  505  0  1 99  0  0
 0  0 106980 3716880 383688 2754912    0    0     0    18  283  581  1  1 98  0  0
 0  0 106980 3716740 383688 2754944    0    0     0    72  244  511  1  0 99  0  0
 1  0 106980 3716744 383688 2754856    0    0     0    12  253  525  1  0 99  0  0
 0  0 106980 3717096 383688 2754784    0    0     0    12  266  581  2  1 96  1  0
 0  0 106980 3715380 383688 2754792    0    0     0    76  264  539  1  0 98  1  0
 0  0 106980 3717096 383688 2754808    0    0     0     2  254  517  0  1 99  0  0
 0  0 106980 3717052 383688 2754808    0    0     0     0  246  510  1  0 99  0  0
 0  0 106980 3717116 383688 2754808    0    0     0    30  250  518  2  0 98  0  0
 0  0 106980 3714856 383688 2754816    0    0     0    10  255  545  1  1 80 19  0
 0  0 106980 3714940 383688 2754824    0    0     0    44  274  549  1  0 91  8  0
 0  0 106980 3717116 383688 2754860    0    0     0    84  260  543  1  2 98  0  0
 0  0 106980 3717116 383688 2754860    0    0     0     0  248  512  1  1 99  0  0
 0  0 106980 3717116 383688 2754860    0    0     0   374  262  527  1  0 99  0  0
 0  0 106980 3715092 383688 2754876    0    0     0    30  259  554  2  1 95  3  0
 0  0 106980 3715068 383688 2754804    0    0     0    44  231  488  0  1 99  0  0
 0  0 106980 3717116 383688 2754824    0    0     0     8  237  502  2  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 106980 3717116 383688 2754824    0    0     0    92  224  505  1  1 99  1  0
 0  0 106980 3716992 383688 2754864    0    0     0    22  223  494  0  0 100  0  0
 0  0 106980 3716936 383688 2754868    0    0     0     8  240  538  1  2 98  0  0
 0  0 106980 3716992 383688 2754884    0    0     0   468  258  528  0  0 100  0  0
 0  0 106980 3716988 383688 2754884    0    0     0     0  299  619  1  1 99  0  0
 0  0 106980 3716992 383688 2754884    0    0     0     2  319  647  1  1 99  0  0
 0  0 106980 3716992 383688 2754884    0    0     0    50  333  662  4  1 96  0  0
 0  0 106980 3714876 383688 2754892    0    0     0    16  328  680  1  1 98  0  0
 0  0 106980 3714944 383688 2754924    0    0     0     0  325  659  1  0 99  0  0
